epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,4.567781925201416,1.7922403812408447,4.567781925201416,3.703640937805176,1.5332139730453491,3.703640937805176
1,3.0186715126037598,1.3250763416290283,3.0186715126037598,2.505239248275757,1.1578389406204224,2.505239248275757
2,2.1037330627441406,1.042397379875183,2.1037330627441406,1.8404638767242432,0.9676312804222107,1.8404638767242432
3,1.627354383468628,0.9160286784172058,1.627354383468628,1.5241363048553467,0.900898277759552,1.5241363048553467
4,1.4192527532577515,0.884969174861908,1.4192527532577515,1.4033997058868408,0.8983331918716431,1.4033997058868408
5,1.349099040031433,0.8909467458724976,1.349099040031433,1.3701025247573853,0.9119338393211365,1.3701025247573853
6,1.3328349590301514,0.9024776220321655,1.3328349590301514,1.3641163110733032,0.9222875237464905,1.3641163110733032
7,1.3304795026779175,0.9085487127304077,1.3304795026779175,1.3635722398757935,0.9252794981002808,1.3635722398757935
8,1.3302992582321167,0.9097909927368164,1.3302992582321167,1.3634753227233887,0.9267245531082153,1.3634753227233887
9,1.3302043676376343,0.9097452759742737,1.3302043676376343,1.3634812831878662,0.928162157535553,1.3634812831878662
10,1.3302100896835327,0.9108417630195618,1.3302100896835327,1.3634731769561768,0.9279211163520813,1.3634731769561768
11,1.3303102254867554,0.9107499718666077,1.3303102254867554,1.363466739654541,0.9275792837142944,1.363466739654541
12,1.3301419019699097,0.9097949862480164,1.3301419019699097,1.3635711669921875,0.9294387698173523,1.3635711669921875
13,1.3302485942840576,0.9113892316818237,1.3302485942840576,1.363465666770935,0.927243709564209,1.363465666770935
14,1.3302674293518066,0.9106348752975464,1.3302674293518066,1.3634675741195679,0.9276381731033325,1.3634675741195679
15,1.3302937746047974,0.9107575416564941,1.3302937746047974,1.363466501235962,0.9271647334098816,1.363466501235962
16,1.3302359580993652,0.9104428887367249,1.3302359580993652,1.363470196723938,0.9278088212013245,1.363470196723938
