epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8235499858856201,0.48795539140701294,0.001,0.8636000156402588,0.4180297553539276
1,0.8891333341598511,0.3094641864299774,0.001,0.8919000625610352,0.29728808999061584
2,0.9038833379745483,0.26511701941490173,0.001,0.8914000391960144,0.29916101694107056
3,0.913349986076355,0.23462605476379395,0.001,0.8923000693321228,0.29180440306663513
4,0.9222166538238525,0.21023911237716675,0.001,0.9020000696182251,0.27314257621765137
5,0.9293333292007446,0.18997332453727722,0.001,0.9035000205039978,0.2767683267593384
6,0.9378333687782288,0.16681157052516937,0.001,0.9023000597953796,0.277383953332901
7,0.9435666799545288,0.1500663161277771,0.001,0.9022000432014465,0.2789788842201233
8,0.956000030040741,0.11774697154760361,0.00075,0.915600061416626,0.28694626688957214
9,0.9620500206947327,0.10201606899499893,0.00075,0.9113000631332397,0.3124805986881256
10,0.9639500379562378,0.09335176646709442,0.00075,0.9073000550270081,0.3251309096813202
11,0.9756667017936707,0.06676880270242691,0.0005625,0.9026000499725342,0.34361958503723145
