epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8235499858856201,0.48960018157958984,0.001,0.8457000255584717,0.4583616554737091
1,0.8887667059898376,0.30492568016052246,0.001,0.8789000511169434,0.33347177505493164
2,0.9051666855812073,0.2610393464565277,0.001,0.8924000263214111,0.2956025004386902
3,0.9171167016029358,0.2282698154449463,0.001,0.8905000686645508,0.29762187600135803
4,0.9267500042915344,0.19926869869232178,0.001,0.8952000141143799,0.29032570123672485
5,0.932449996471405,0.18205827474594116,0.001,0.9028000235557556,0.27643704414367676
6,0.9399999976158142,0.1598537564277649,0.001,0.9080000519752502,0.2664039433002472
7,0.9462167024612427,0.14384128153324127,0.001,0.9021000266075134,0.312520295381546
8,0.9500666856765747,0.13034608960151672,0.001,0.8958000540733337,0.33858194947242737
9,0.9624333381652832,0.09904782474040985,0.00075,0.9070000648498535,0.314758837223053
