epoch,loss,mae,mse,val_loss,val_mae,val_mse
0,1.1619396209716797,0.7308394908905029,1.1619396209716797,0.4899379014968872,0.5020659565925598,0.4899379014968872
1,0.4286344349384308,0.4659607410430908,0.4286344349384308,0.47488659620285034,0.4836834669113159,0.47488659620285034
2,0.4140486419200897,0.4553857743740082,0.4140486419200897,0.4697929620742798,0.4843704104423523,0.4697929620742798
3,0.40505513548851013,0.4487232267856598,0.40505513548851013,0.4725685715675354,0.4988503158092499,0.4725685715675354
4,0.3967439830303192,0.44458338618278503,0.3967439830303192,0.46602705121040344,0.4789915084838867,0.46602705121040344
5,0.3893256187438965,0.44007930159568787,0.3893256187438965,0.4671265780925751,0.4908750653266907,0.4671265780925751
6,0.3847332298755646,0.4363231658935547,0.3847332298755646,0.4510948061943054,0.46962106227874756,0.4510948061943054
7,0.37670108675956726,0.43147239089012146,0.37670108675956726,0.43951085209846497,0.46095922589302063,0.43951085209846497
8,0.3705567717552185,0.4271492063999176,0.3705567717552185,0.4360601007938385,0.4702528715133667,0.4360601007938385
9,0.3641931116580963,0.4237850606441498,0.3641931116580963,0.4367027282714844,0.4698936641216278,0.4367027282714844
10,0.3616907298564911,0.42098358273506165,0.3616907298564911,0.4253557324409485,0.4651193618774414,0.4253557324409485
11,0.35551705956459045,0.41783201694488525,0.35551705956459045,0.4506905972957611,0.4793209731578827,0.4506905972957611
12,0.3553059697151184,0.4171059727668762,0.3553059697151184,0.4300735890865326,0.4663727283477783,0.4300735890865326
13,0.35225769877433777,0.4154799282550812,0.35225769877433777,0.41948938369750977,0.45486000180244446,0.41948938369750977
14,0.34961411356925964,0.4144127368927002,0.34961411356925964,0.4180065989494324,0.4429803788661957,0.4180065989494324
15,0.3480547368526459,0.41286441683769226,0.3480547368526459,0.41610679030418396,0.4466620087623596,0.41610679030418396
16,0.3482414782047272,0.4134956896305084,0.3482414782047272,0.4112008213996887,0.4449280798435211,0.4112008213996887
17,0.34740352630615234,0.4123997092247009,0.34740352630615234,0.4064292311668396,0.4437418580055237,0.4064292311668396
