epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.725433349609375,0.7418173551559448,0.001,0.8151000142097473,1.086020588874817
1,0.8175166845321655,0.4901171922683716,0.001,0.8512000441551208,0.42839616537094116
2,0.8405166864395142,0.429392009973526,0.001,0.8521000146865845,0.4156433343887329
3,0.8558666706085205,0.3918057680130005,0.001,0.8714000582695007,0.3568930923938751
4,0.8624333143234253,0.3743581175804138,0.001,0.8795000314712524,0.3427542746067047
5,0.8689500093460083,0.355242520570755,0.001,0.8929000496864319,0.30007776618003845
6,0.8734333515167236,0.33971211314201355,0.001,0.8821000456809998,0.3231784403324127
7,0.876033365726471,0.3352053463459015,0.001,0.891200065612793,0.2995983064174652
8,0.8827500343322754,0.31700006127357483,0.00075,0.8895000219345093,0.30644237995147705
